Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Cleaned_Text,Tokens,Tokens_No_Stopwords,Stemmed,Lemmatized,Processed_Text,TextBlob_Sentiment,VADER_Sentiment,Sentiment_Score,Mapped_Sentiment,ML_Prediction
enjoying a beautiful day at the park!,Positive,2023-01-15 12:30:00,User123,Twitter,#Nature #Park,15.0,30.0,USA,2023,1,15,12,enjoying a beautiful day at the park,"['enjoying', 'a', 'beautiful', 'day', 'at', 'the', 'park']","['enjoying', 'beautiful', 'day', 'park']","['enjoy', 'beauti', 'day', 'park']","['enjoying', 'beautiful', 'day', 'park']",enjoying beautiful day park,Positive,Positive,0.8074,Positive,Positive
traffic was terrible this morning.,Negative,2023-01-15 08:45:00,CommuterX,Twitter,#Traffic #Morning,5.0,10.0,Canada,2023,1,15,8,traffic was terrible this morning,"['traffic', 'was', 'terrible', 'this', 'morning']","['traffic', 'terrible', 'morning']","['traffic', 'terribl', 'morn']","['traffic', 'terrible', 'morning']",traffic terrible morning,Negative,Negative,-0.4767,Negative,Positive
just finished an amazing workout! 💪,Positive,2023-01-15 15:45:00,FitnessFan,Instagram,#Fitness #Workout,20.0,40.0,USA,2023,1,15,15,just finished an amazing workout,"['just', 'finished', 'an', 'amazing', 'workout']","['finished', 'amazing', 'workout']","['finish', 'amaz', 'workout']","['finished', 'amazing', 'workout']",finished amazing workout,Positive,Positive,0.5859,Positive,Positive
excited about the upcoming weekend getaway!,Positive,2023-01-15 18:20:00,AdventureX,Facebook,#Travel #Adventure,8.0,15.0,UK,2023,1,15,18,excited about the upcoming weekend getaway,"['excited', 'about', 'the', 'upcoming', 'weekend', 'getaway']","['excited', 'upcoming', 'weekend', 'getaway']","['excit', 'upcom', 'weekend', 'getaway']","['excited', 'upcoming', 'weekend', 'getaway']",excited upcoming weekend getaway,Positive,Positive,0.34,Positive,Positive
trying out a new recipe for dinner tonight.,Neutral,2023-01-15 19:55:00,ChefCook,Instagram,#Cooking #Food,12.0,25.0,Australia,2023,1,15,19,trying out a new recipe for dinner tonight,"['trying', 'out', 'a', 'new', 'recipe', 'for', 'dinner', 'tonight']","['trying', 'new', 'recipe', 'dinner', 'tonight']","['tri', 'new', 'recip', 'dinner', 'tonight']","['trying', 'new', 'recipe', 'dinner', 'tonight']",trying new recipe dinner tonight,Positive,Neutral,0.0,Neutral,Positive
feeling grateful for the little things in life.,Positive,2023-01-16 09:10:00,GratitudeNow,Twitter,#Gratitude #PositiveVibes,25.0,50.0,India,2023,1,16,9,feeling grateful for the little things in life,"['feeling', 'grateful', 'for', 'the', 'little', 'things', 'in', 'life']","['feeling', 'grateful', 'little', 'things', 'life']","['feel', 'grate', 'littl', 'thing', 'life']","['feeling', 'grateful', 'little', 'thing', 'life']",feeling grateful little thing life,Negative,Positive,0.5423,Positive,Positive
rainy days call for cozy blankets and hot cocoa.,Positive,2023-01-16 14:45:00,RainyDays,Facebook,#RainyDays #Cozy,10.0,20.0,Canada,2023,1,16,14,rainy days call for cozy blankets and hot cocoa,"['rainy', 'days', 'call', 'for', 'cozy', 'blankets', 'and', 'hot', 'cocoa']","['rainy', 'days', 'call', 'cozy', 'blankets', 'hot', 'cocoa']","['raini', 'day', 'call', 'cozi', 'blanket', 'hot', 'cocoa']","['rainy', 'day', 'call', 'cozy', 'blanket', 'hot', 'cocoa']",rainy day call cozy blanket hot cocoa,Positive,Negative,-0.0772,Positive,Positive
the new movie release is a must-watch!,Positive,2023-01-16 19:30:00,MovieBuff,Instagram,#MovieNight #MustWatch,15.0,30.0,USA,2023,1,16,19,the new movie release is a mustwatch,"['the', 'new', 'movie', 'release', 'is', 'a', 'mustwatch']","['new', 'movie', 'release', 'mustwatch']","['new', 'movi', 'releas', 'mustwatch']","['new', 'movie', 'release', 'mustwatch']",new movie release mustwatch,Positive,Neutral,0.0,Positive,Positive
political discussions heating up on the timeline.,Negative,2023-01-17 08:00:00,DebateTalk,Twitter,#Politics #Debate,30.0,60.0,USA,2023,1,17,8,political discussions heating up on the timeline,"['political', 'discussions', 'heating', 'up', 'on', 'the', 'timeline']","['political', 'discussions', 'heating', 'timeline']","['polit', 'discuss', 'heat', 'timelin']","['political', 'discussion', 'heating', 'timeline']",political discussion heating timeline,Neutral,Neutral,0.0,Negative,Negative
missing summer vibes and beach days.,Neutral,2023-01-17 12:20:00,BeachLover,Facebook,#Summer #BeachDays,18.0,35.0,Australia,2023,1,17,12,missing summer vibes and beach days,"['missing', 'summer', 'vibes', 'and', 'beach', 'days']","['missing', 'summer', 'vibes', 'beach', 'days']","['miss', 'summer', 'vibe', 'beach', 'day']","['missing', 'summer', 'vibe', 'beach', 'day']",missing summer vibe beach day,Negative,Negative,-0.296,Neutral,Neutral
